text,label
One of the greatest films I've ever seen!,positive
What more is there to say?,positive
This is a nearly perfectly told story of engrossing characters wrapped up in mafioso drama.,positive
It's a pretty fucking boring movie at times. but i enjoyed it,negative
It's truly a masterpiece,positive
"A classic must watch. Lots of mobsters, lots of killing, great acting, solid characters, and amazing music. My only complaint is that at times it was hard to hear what was being said in certain scenes when listening at a reasonable volume.",positive
Absolute amazing the story the direction the acting everything was perfect probably the greatest movie I ever watched,positive
Uma aula de cinema!Uma obra prima!,positive
"Godfather, the film from the Italian Francis Ford Coppola, revolutionized American Cinema forever. Great film!!",positive
Best movie ever made!,positive
Outstanding in just about every way possible.,positive
One of the greatest films ever made. Marlon Brando shines as Vito Corleone with Al Pacino amazing the world as Michael Corleone. Strong performances from Robert Duvall as Tom Hagen and James Caan as Sonny Corleone with great directing from Francis Ford Coppola drives this move to the peak of cinema,positive
One of the top 10 best movies ever (IMHO). I love it. Can't get enough.,positive
no words . All parents should watch this movie.,positive
It insists upon itself.,negative
Do I really need to explain myself?,positive
"Seriously, so sublime it's boring. Post WW2 gangster family doings.",positive
The best movie I have watched. Brando and Pacino's performances are exhilarating. I have been given life by this movie,positive
One of the best films of all time everyone would have to agree.,positive
una maravilla de la cinematografia,positive
"One of the best movies of all time if I might say, great story, development of characters; especially Michael. Also has just the right amount of action to keep you on your toes.",positive
Definitely not the story I was expecting. The interpersonal relationships seemed realistic and the lack of foreshadowing most deaths certainly added to that. It was a little long and didn't feel like all questions were answered.,positive
Perfect movie!!! I highly recommend!,positive
"The best movies about italian Mafia, perfect Trilogy.",positive
"Truly perfection. The all-star cast, brilliant music and story. A painfully beautiful story about Michael Corleone, a tragic hero. The excellent cinematography is truly groundbreaking. Many criticisms of certain aspects being cliche are false, since they were new in the film. 10/10.",positive
"Simply a Masterpiece, the definition of a mob movie",positive
My favorite movie of all time,positive
One of the Staples of Mobster movie in Hollywood,positive
"Truly one of the greatest movies of all time. I cannot add to the generations of critics whose analysis explains how and why this movie works-- the acting and casting, the script and characterization, the cinematography and music, the famous montage, even the subsequent sequels... I can understand and find a place of compassion in my heart for both the father and the son as they progress through their diverging dramatic arcs.",positive
"Will always be the number one, the one to beat!",positive
"I enjoyed the movie when it came out, even if I thought it was too long and I didn't care for the choice of color palette in the photography, particularly the parts showing the young godfather in NYC. I saw it first at age 21, as an older adult I have more of an appreciation of how it was made.",positive
The best movie of all time,positive
The ultimate cinematic experience. If you like good movies this is a must see! If you haven't seen it yet the next time you are free for 3 hours this is what you should be watching.,positive
"The life of a mob leader through Francis Fords eyes, The Godfather The Godfather is an American crime/gangster film by director Francis Frod Cuppola. It is based on the Mario Puzo's mafia novel. The main roles in the film are Vito Corleone played by Marlon Brando and his son Michael Corleone played by Al Pacino. The film tells us the story of an Italian Mafia family from New York. The Godfather is in theaters since March 24, 1972 and it lasts 175 minutes. It's a beautiful film and I was very impressed. I was very curious and the film was better than my expectations. The cast was well prepared and the actors had performed well. The Godfather is about an Italian mafia family from New York. The head of this mafia is Don Corleone. He was mainly concerned with Casino and has influence with politicians as well as the police, this power makes people respect him. The film starts with her daughter's wedding party. The film only starts to become more interesting after Michael Corleone's return as a hero and build his own criminal life. The tension was from the beginning to the end of the film in a rising line. The story built a climax and reached his highest point at the moment when Michael, the youngest son of Don Corleone, took the ropes on his hand and became the new leader of the mafia family. Afterwards, the actions decreased in a descending line until the end of the film. Vito Corleone is the moral of the film. He is old and tired to continue with his criminal case. He knows that playing cards is not a problem for society, but drugs are a dirty job. I think the godfather is more than just a Mafia movie. The story is based on life events and gives us a picture of how far people go even to the border of life and death to have power and respect. It is certainly worth watching the film and afterwards you will be curious about the other versions.",positive
"Review of ""The Godfather"" The Godfather, arguably the single most popular movie about mafia's ever, was directed by Francis Ford Coppola on the 27th of October 1972. The movie is based on the 1969 novel which shares the same name. With actors such as Al Pacino, Marlon Brando and James Caan, who all played iconic roles and portrayed the characters beautifully, the movie has rightfully gained its acclaim.The film was also a genuine God in the film world, as he won a lot of awards and literally made this film history. The first movie of the famous trilogy revolves around Don Corleone and his gang, or as they say in true mafia style: family. You'd think a notorious gambling addict wouldn't be all too scary, but that's before you take into account both his power in politics and the police said ""power is why people both fear, and respect him."" But someone clearly didn't care about that. Solozzo is a Turk who wanted to earn a lot of money, so he contacted Corleone with the intention of striking up a deal. But much to Solozzo's surprise, Don wasn't exactly a big fan of dipping his feet into the drug dealing area. The police didn't mind him gambling since all in all, it isn't harmful to others. Drug dealing on the other hand isn't exactly as harmless. Solozzo clearly didn't like that answer and decided to deal with this issue in true mafia style: by shooting Corleone with a gun. Yet somehow, in true miraculous fashion, Don managed to survive. But Old Don wasn't willing to stay as the head of the family, his time had passed and it was time to pass on the torch. This position was going to go to his youngest son, Michael. But things didn't exactly go as planned. We get to see a war like never seen before to decide who can inherit the throne, or well in this case, the position of Godfather. What makes The Godfather so different from any other mafia movie is the fact that it is viewed from the inside, from within the family. The movie is told from the family's point of view and you don't really get to see what happens outside of the family because frankly, it's irrelevant. And if one pays close attention you might notice something: Don Corleone is a professional criminal, yet we don't see him commit any crimes. There isn't anybody whose family is held hostage or who's being blackmailed into giving them all their wealth. It's a story about a family, though quite a violent one, trying to live their life to the fullest. This adds onto the charm of the movie even more. So, I'd obviously heard of the highly acclaimed Godfather, but hadn't come around to watching it myself just yet. It was amazing, from the way you get to see how a mafia family interacts to the perfect acting of Marlon Brando. The voice, the looks, the vibe, everything just matched perfectly. And it's not as if the plot was bland, it had more than its fair share of twists on unexpected occurrences. It's an exciting experience, and one I'd recommend to all of you too. To keep it short, the movie is a great representation of the mafia as well as a beautiful mash up of acting, plot and music. I personally couldn't even find one single flaw in this movie, but maybe that's because I was so fascinated throughout the whole experience. I do have one remark though: the women pretty much don't play a role in this movie at all. They're used and then discarded, and it's as simple as that. Michael never tells Kay about Apollonia, and the daughter of Don is pretty much irrelevant to the story. Also, Vito's wife is pretty much just known as that one woman who poses with him. Though personally I don't mind too much, I can understand why people would possibly get offended by this. I give this movie a 9/10. It is, no doubt, one of the best movies I've ever seen. Written by Anass Achbari",positive
"The father of all Review The Godfather is an American crime movie based on Mario Puzo's novel ""The Godfather"". The movie follows an Italian mafia family and their internal family and business problems. The first scene was immediately an eye-catcher with the first shot inside a dark, shuttered room. A man came to ask for punishment for his daughter's rapist at the Sicilian wedding of the daughter of Don Vito Corleone better known as the Godfather himself. Don Corleone's response must be one of the most iconic moments in movie history. At that moment I knew that I was going to watch a true mafia movie. The story gives the inside perspective of the mafia. That is its secrets, its power struggle and its charms. And I think that it has shaped the public perception of the mafia ever since. The real world is replaced by an authoritarian patriarchy where power and justice flow from the Godfather.The only villains in the story are traitors. There is one commandment that I will never forget spoken by Michael, a son of Don Corleone played by Al Pacino: ""Don't ever take sides against the family"". As the day continues on the wedding, there are two more scenes in the Godfather's darkened study, intercut with scenes from the wedding outside. By the end of the wedding , most of the main characters will have been introduced and we will know essential things about their personalities. It was a creative way of filmmaking. The director brings his large cast onstage so artfully that we are drawn into the Godfather's world. One thing that was remarkable was that even after all the shooting and explosions, not a single innocent victim was killed in the movie. The irony of the title is that it eventually comes to refer to the son, not the father. As the film starts Michael is not part of the family business and plans to marry a women who is not Italian. His turning point comes when he saves his father's life by moving his hospital bed, and whispers: ""I'm with you now."" For a movie made in the early 70's the quality was really outstanding for me with great shots and scenes. Unlike the fighting scenes, I was very disapointed. The timing and angle of the fist could be done much better. But overall, I can understand why this movie is seen as one of the greatest movies of all time. The acting is of the highest level, the story is original and the soundtrack is legendary. The Godfather is the father of all mafia/gangster movies ever produced. 9,5/10 Stefaan Henrard",positive
Best movie ever made. Flawless.,positive
The best movie of all time,positive
"Favorite movie of all time!! If you've never seen the trilogy,I recommend only watching parts 1 and 2. Part 3 was terrible.",positive
"You are fucking mental not liking this movie. It is perfect in the sense it doesn’t need a full review. Just watch it, you can literally record it right now!",positive
The best film yet made (along with part II).,positive
"The Godfather is the best mob film ever made. Marlon Brando was born to play Vito Corleone. And let's not forget the amazing performances from Al Pacino, James Cann, and Robert Duvall. As for Francis Ford Coppola, he took every task of making this film into a reality.",positive
YEP! its a MAAAAAsterpiece. the acting in this flick is gorges! the story is an moonlander. literally. 10/10,positive
A pinnacle achievement in cinema. 'The Godfather' simply satisfies all expectations and deserves its praise. Brando and Pacino give viewers and film buffs an outstanding performance as their chemistry with supporting actors flow from the opening scene to the climax. Simply a timeless piece that cements new expectations for future films,positive
One of the best ever.,positive
Greatest Gangster film there will ever be.,positive
La mejor pelicula de la historia,positive
"Superb. Just watch it, preferably on a big screen.",positive
"A complete masterpiece. A movie way past its time, must-see film.",positive
The most classic movie ever,positive
Greatest movie ever.,positive
Was one of the best movies in the history,positive
"AFI 100 Greatest Films - #3 This one never gets old for me, and I may even gain more respect with each watch. The acting, cinematography, script and plot all blend perfectly, making three hours melt away completely. The number of lines from this film still used in popular culture always astounds me and I have to guess this was my first experience watching an antihero play such a large role, a device which has become all too common today. I normally don't think it is fair to rate movies without a disclaimer when I have previously read the source material they derive from, but this is one of the rare cases it would make no difference.",positive
Imagine sitting down to watch what is widely considered a classic then feeling like you just wasted over three hours of your life. That's how I felt during this. I hate the godfather 3 I wish it was the first one,negative
Top 20 of all time movies in my opinion. Must see!,positive
Coppola can get the performances required but otherwise the movie just isn't as good as the book and comes across as another dreary mafia movie.,negative
Absoluta obra maestra!!!!,positive
"Fantastic performances and intriguing plot, however suffers slightly with pace.",positive
"The Godfather deserves the reputation it has as one of the greatest films in American cinema. Every performance is perfect, between Brando, Pacino, Caan and Duvall it's hard to say who did the best. Something must have happened to Coppola in the late 60s and early 70s that gave him some ability to make 4 perfect films from 1972-'79 that was never recaptured.We as a society are obsessed with crime dramas and this is arguably the best of them all.",positive
"I Said That In One Sentence, The Best Movie Ever.",positive
How the hell is the Godfather ranked #30??? Easily the best crime action/drama ever made.,positive
"This is not just A movie, this is THE movie.",positive
What can I say MASTERPIECE,positive
Incredible. An unrelenting marvel of cinema. Nothing more need be said.,positive
"good drama and music, I think story is much better but its normal",negative
"I watched a movie once and I do not sure about second watching it one more again.But I think, that movie is pretty good.",negative
Greatest movie ever made,positive
Its very rare you see a movie that lives up to this type of hype. It has almost no faults in its writing. It has some exceptional performances by multiple actors. The scene are well shot. the writing is almost perfect. It's 3 hours long but very much justified by the end.,positive
"Being one of Hollywood's most thriving classics, ""The Godfather"" is such a classic movie that it has gained a protective bubble of good critics around it. And for a good reason. It speaks of corruption (being set, of course, in the Sicilian Mafia) and also of family issues, exceedingly acomplishing every goal it sets. It's of course also a classic of American Cinema, so it's DEFINITELY worth the watch.",positive
simply the greatest of all time,positive
"Rating: 81/100, 81% B+ Many, and I mean many, people consider “The Godfather” the greatest movie of all time. I do see how it is up for contention, but it’s not my pick. The Godfather could easily be a 5/5 movie, but you would have to settle with being confused and not being able to follow the storyline completely. There will be moments where you are completely in the dark about the conversation that is happening or what the characters are doing. Some will say “it’s so complex, you’ll only get it if you’re smart” or “it’s so complex it’s suppose to be that way”.",positive
I cant talk about this movie,positive
Probably the best film ever made.,positive
Greatest of all time 👑,positive
Overrated and not as good as Part II.,negative
"Nowadays we are almost away from that criminal things, but it is exciting to get acquainted with this sphere, to know how those influential people act in those times. In this film, it is highlighted that sometimes these people even could risk their lives to keep their high place in society or to run their businesses. And this incredible cast of Godfather was able to show the characters of the people of that time. Therefore I cannot criticize this film because it is a masterpiece.",positive
A masterpiece. This movie can't be touched..,positive
glad that i finally got to watch this movie at this point in time when i know more about italy and sicily!,positive
A must see . Wish Marlon Brando had more screen time .,positive
O melhor filme já feito na história da humanidade!,positive
One of the greatest films ever made. What more can you say,positive
"Saw this as a young teen but didn't really remember much of it. Just saw it again (in 2019). This must've been seen as a great film in the 70s but seeing it now was hugely disappointing. I was not impressed with the acting or any of the character development. The men were more like caricatures and the women were treated as mindless objects. Michael's character makes a complete 180 but Pacino doesn't display that in a believable way. Why does he show up late to his sister's wedding reception, and in uniform when the rest of the family men are in tuxedos? Are we to believe Michael leaves Kay for 4 years, no one else dates her, and she accepts his proposal immediately upon his return? In this movie about a powerful family, has she absolutely no family? How does the newspaper immediately write a lengthy article about Vito's attempted murder before anyone in the family even reaches Michael? How could any hospital be as deserted as the one depicted? What takes so long for Connie to accuse Michael of being behind Carlo's murder? Why does Tom never marry? (If he did why is his character presented as so 1 dimensional?) Too many unrealistic elements to be a great movie.",negative
One of the best classics ever!,positive
"This is supposedly the second greatest movie ever made. (Citizen Kane being the best) I completely disagree, this movie blows Citizen Kane out of the Water! Greatest movie ever made....period.",positive
Greatest film all time,positive
"Brilliant, one of the best movies ever made with the best performance of the century by Marlon Brando. A must see.",positive
"Too good, absolutely must to watch",positive
One of the movies being close to absolute perfection,positive
Best mafia film ever how its not no1 i dont know,positive
"Beautifully shot, masterfully written, engaging and tense, The Godfather deserves it's spot as one of the most iconic films of all time.",positive
"The Godfather was released in 1972, directed by Francis Ford Coppola and stars Al Pacino, Marlon Brando, James Caan, and Robert Duvall. It tells the story of a family of mobsters called the Corleones and the rise to power of Michael Corleone. The Godfather is one of the best pieces of cinema I have ever seen. It succeeds in almost every single aspect and then some. The acting all around is pretty perfect. Marlon Brando gives a layered performance as the powerful but old fashioned crime boss, Vito Corleone. His character goes through so much in this movie and he tries his best to keep the family and organization together even as his time is coming to an end. Brando consistently gives nuance and compassion to Vito. Vito dies knowing that his family and business will live on and his death is a peaceful one reflecting the honorable and passionate way he handled the business but also melancholy as his organization will never be the same after him. Al Pacino does a terrific job as Michael and he conveys the rapid but always natural decline into crime magnificently. Michael doesn't understand the important family aspects as well as Vito does and over the course of the movie, everything Vito stood for as the head of the Corleone family is torn down. Michael isn't honorable, he's ruthless, deceitful, he doesn't care about his family as much as Vito, he goes against Vito's wishes, and he is willing to do anything for the business. Vito understood that the crime and family aspects went hand in hand which Michael never did. That dynamic and development helps make Michael one of the most compelling protagonists in movie history. James Caan does a really good job as the short tempered and brash Sonny. His end is inevitable right from his first scene because he is a flawed person who is much too emotional for the business his family works in. Tom, played by Robert Duvall, is the adopted brother of the family and is always the right hand man. If there is bad news he is the one to tell you about it. His role in the business is to carry out the wishes of the Don. He is calm, thoughtful, and loyal. The perfect counter to Sonny. Tom is always doing what someone needs him to do because he always feels in debt to the Corleones making him one of the most understandable and likeable characters in the film. I could go on listing off characters because everyone is pretty much perfect in this movie. But the most important thing is that Vito is the perfect Don. He's compassionate when he needs to be, cold when he needs to be, caring when he needs to be, and he is ruthless when he needs to be. Michael is smart, ruthless, and calculating but when it comes to being compassionate to his enemies and comrades he fails. Sonny is loyal and devoted to the family but his temper and overall hot headed nature means he can't think things through or make a plan without his personal feelings getting in the way. Tom isn't afraid to get his hands dirty and is extremely loyal to the family but he is a man who carries out the plans and not the one who makes them. The comparing and contrasting with Vito and his children is the most interesting aspect of the movie to me. When Vito is in control everything is perfect but when any of his kids are in control there will always be something wrong. That sense of sorrow you get when you realize that Michael never will be the perfect Don and the kind of gangsters like Vito die with him is so sad but so interesting to watch unfold. The characters and their dynamics between each other are absolutely perfect and one of the best if not the best factors of the movie. Secondly, the story is also really interesting. It's a simple premise of gangsters in New York but comes packaged with so many layers and interesting plot details it raises the whole thing up 100 notches. The story is so dense and rich with intriguing ideas and themes. Everything has a purpose and every aspect is fleshed out to its fullest extent. The story feels really tight and wound together with not threads or strands being left in the air after it ends. Everything is so intricate and well put together. The movie has so many great and quotable lines that are really a testament to how well this movie holds up. There is barely anything that seems goofy or outdated other than a few individual moments and details. The action is quick and brief but very well done and very well shot. Every death isn't poetic and flashy. They're more like brutal executions. There is always a sense of impending doom with each of the kills. The audience knows what's going to happen always a bit before the characters do so you get to feel a real sense of dread when someone is about to die or get shot. Whether it's the way it affects the characters or the audience the action and kills are always delivered perfectly. There is a better sense of it in the sequel but the montage of Michael brutally and swiftly taking out his enemies is so rewarding and engaging because it's been built to over the course of the films nearly three hour runtime. I find it hard to do any complaints about this movie. Occasionally there are moments that pull you out of the movie like Sonny ""punching"" Carl and very clearly missing or when someone is shot in the face but then slowly lower their head despite the fact it should be hitting the ground immediately as they die. Or the very slight over acting of Al Pacino's eye movement when deciding whether or not to kill Sollatzo and the Police captain but even then It's to properly convey the inner conflict going through Michael to the audience. Or that the scenes with Michael in Sicily sometimes feel like somewhat of a departure from the tight and well rounded story being told but again this is just giving more reasons to fear Michaels enemies and give him proper reasons for his need for revenge. It's just some really small things that barely matter in the grand scheme of things. In conclusion, The Godfather is an absolute masterclass in storytelling, drama, character development, writing, character writing, cinematography, acting, lighting, and everything in between. It very rarely fails at anything but when it does the issues are so small that you can brush it off immediately and extremely easily. This movie is an absolute masterpiece and if you haven't seen it for some reason I would recommend it to anyone. 10/10",positive
One of the greatest films of all time!,positive
"A classic about family, America, crime, immigration, violence, and so much else.",positive
"Wonderfully satirized, it may feels like you are reading the book with the same heart that Mario Puzo did, ‘The Godfather' is more that a masterpiece also perfectly made by Francis Ford Coppola, it is, with no doubt, the best movie of all times.",positive
"The Godfather is an overrated film. I was disappointed in Marlon Brando's performance, the screenplay, and the pacing. It's three hours of slow, disturbing, mindless, gangster crap. Marlon Brando seems more like a mentally challenged person than a feared top notch Godfather. But out of all the films of 1972 this one is the best of the year.",negative
"This Is one of the Best movies I've ever seen, the movie has a complex plot, interesting characters, a good narrative, great acting, the movie has everything that a good movie need to have.",positive
The second greatest movie of all time.,positive
This is a masterpiece and one of the greatest movies of all time,positive
Without shadow of the doubt this movie is incredible! I watched it 100 times or more and will be watch again.,positive
"A groundbreaking classic. The phenomenal acting and the enriching dialogue is very compelling, adding superb depth to the characters, especially Brando, whose dominance on the screen as Vito is unparalleled. Superb character development of Michael from a warm family man to a cold-hearted murderer. One of the all time greats",positive
Greatest film ever made Speak softy love,positive
Stellar performances and a movie that laid the foundation for future mafia works.,positive
An absolute classic with easily the greatest mafia setting with great characterization making you fall in love with the onsomble of characters!!!,positive
Still a monumental movie,positive
Best movie of my lifetime!!!,positive
Worthy of every bit of praise it has received!,positive
I will never understand glorified violent criminals,negative
"My all-time favorite movie. No crime drama has ever matched this film or its sequel's intricacy or thoughtfulness. This movie portrayed the Mafia in a new light, examining it as nothing more or less than families with the deepest love for and loyalty to each other. Not to mention all the actors' amazing performances, Coppola's masterful direction, and his and Puzo's faithful adaptation of the book.",positive
My number 2 favorite movie. I get chills at the quality every time I watch it.,positive
"The movie does not have one flaw. It is perfect in every way from casting, acting,directing, scene design, music etc. Every time you watch it you pick up another piece that you missed before. 50 years later with it still gaining fans shows the excellence of the filmmaking",positive
It's the best movie ever,positive
The only question is whether the movie was an all-time best or not...My conclusion: great movie but not one better than almost all else.,positive
"Doesn't get any better movie wise. Amazing performances, amazing story and amazing score.",positive
pretty much the most famous movie,positive
"Probably the most well executed movie ever, filled to the brim with iconic moments, The Godfather is one of the best directed and acted movies in cinema history.",positive
All time favorite movie,positive
"Maybe because after a few views, The Godfather, like a truly great work of art, is also a certain kind of Rorschach test for those who watch it. So every view is different, and every viewing shows me different things. I do not mean only small pearls that reveal in a second or third view - such as the precise and wonderful characterization of Paulie's secondary character through simple and simple body gestures at the beginning of the film - which I have already exhausted. I mean the way I look at the film and the characters I identify with. In one view I will identify with Vito Corleone, the head of the New York crime family, whose opponents are joining him; In another view, I will feel great closeness to Michael, his young son, who pays a personal price for businesses he did not want; Or maybe it was Sonny Corleone, the eldest brother, the hotheaded and the violent, who would get an unexpected sympathy as a tragic figure. Or perhaps what captures me in this film is actually his class as a ""classic""? Perhaps the knowledge that I am watching a movie that has been quoted so many times and has so profoundly influenced the world of cultural contexts in which we live - from the Sopranos to images of government corruption in Israel - fascinates me. So I can suddenly get a nice insight into another film, or about the reason why they did not take me to the last job I interviewed. I guess the trivia information I mentioned at the top of the page suggests I'm not the only one who feels that way about the film. So it seems that the status of the 'godfather' indicates that the film is hurting the emotions of other viewers. I hope that even a viewer who does not feel anything will suddenly recognize the lines of a dialogue he has heard thousands of times in the past (""We will offer him an offer he can not refuse,"" ""sleep with the fish"") or figures he has seen in dozens of films since then. In any case, watching the Godfather is a must - even if you do not find a film that is so well detailed on your chords, at least complement a cultural classic.",positive
